Thread ID: 70203417516760
Total: 0.001690
Sort by: self_time

 %self     total     self     wait    child    calls   name
590794.50     10.21     9.98     0.00     0.22     1435   Psych::Parser#parse 
298527.28    258.20     5.05     0.00   253.15   275225   Array#each 
123111.78     17.89     2.08     0.00    15.81   505070   Class#new 
115125.68      1.95     1.95     0.00     0.00   905631   Symbol#to_s 
114413.43      1.93     1.93     0.00     0.00   785090   String#intern 
100324.20     27.35     1.70     0.00    25.66   212707   Arel::Visitors::Visitor#visit 
66849.41      1.13     1.13     0.00     0.00    12660   PG::Connection#async_exec 
48826.69      0.83     0.83     0.00     0.00   469814   Kernel#class 
45253.37      0.76     0.76     0.00     0.00   367817   Module#=== 
43381.78      0.73     0.73     0.00     0.00   362595   <Class::BasicObject>#allocate 
40891.54      0.78     0.69     0.00     0.09    68479   Array#- 
36583.08      0.62     0.62     0.00     0.00   358303   Kernel#hash 
35900.41      0.61     0.61     0.00     0.00   281471   Kernel#instance_variable_set 
35815.15     12.11     0.61     0.00    11.51    45757   ActiveRecord::AttributeMethods::Read::ClassMethods#type_cast_attribute 
33819.82      9.87     0.57     0.00     9.29    46863   ActiveRecord::SpawnMethods#except 
33213.79      1.17     0.56     0.00     0.61    78972   ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection_pool 
32920.47     29.31     0.56     0.00    28.75    93024   Array#map 
31524.44     20.49     0.53     0.00    19.96    17852   Array#collect 
31187.40      0.69     0.53     0.00     0.17   150877   Kernel#respond_to? 
30100.65      0.51     0.51     0.00     0.00   212707   Arel::Visitors::Visitor#dispatch 
29559.47      2.43     0.50     0.00     1.93    43085   Arel::Visitors::ToSql#visit_Arel_Attributes_Attribute 
29250.00      0.49     0.49     0.00     0.00    86379   Array#join 
27579.17      3.73     0.47     0.00     3.26    12679   ActiveRecord::LogSubscriber#sql 
27501.12      1.32     0.46     0.00     0.85    43085   Arel::Visitors::ToSql#column_for 
26223.02      5.83     0.44     0.00     5.39    20852   ActiveRecord::QueryMethods#build_arel 
26161.54      0.44     0.44     0.00     0.00   122626   Arel::Nodes::Binary#initialize 
25201.42      3.08     0.43     0.00     2.65    20935   Hash#each 
24854.32      7.82     0.42     0.00     7.40    10423   Arel::Visitors::ToSql#visit_Arel_Nodes_SelectCore 
24277.63      0.41     0.41     0.00     0.00    54397   <Class::ActiveRecord::Base>#logger 
22689.11      0.38     0.38     0.00     0.00   187367   Kernel#is_a? 
22586.51      0.82     0.38     0.00     0.44   105531   <Class::#<Class:0x007fb303a48748>>#new 
22020.47      1.72     0.37     0.00     1.35    46895   Kernel#clone 
20476.39      0.35     0.35     0.00     0.00   158480   String#to_s 
20270.53      0.34     0.34     0.00     0.00   167658   Fixnum#to_s 
20044.26      1.79     0.34     0.00     1.45    39433   ActiveRecord::AttributeMethods#respond_to? 
19915.98      0.34     0.34     0.00     0.01    13326   String#% 
19862.84      0.34     0.34     0.00     0.00   115040   Module#name 
19617.40      0.33     0.33     0.00     0.00   165636   String#initialize 
19199.64      0.37     0.32     0.00     0.04    33683   Array#flatten 
19197.81      1.55     0.32     0.00     1.22    77968   Arel::AliasPredication#as 
19086.86      0.32     0.32     0.00     0.00   170375   <Class::Thread>#current 
18756.80      0.43     0.32     0.00     0.12    84243   Hash#[]= 
18434.08      0.31     0.31     0.00     0.00   167082   Array#empty? 
18120.00      2.27     0.31     0.00     1.97    78956   <Class::ActiveRecord::Base>#retrieve_connection 
17635.68      0.66     0.30     0.00     0.36    20941   ActiveSupport::Callbacks::ClassMethods#__callback_runner_name 
17527.63      8.46     0.30     0.00     8.16    12679   ActiveSupport::Notifications::Instrumenter#instrument 
17501.24      0.30     0.30     0.00     0.00    46151   ActiveRecord::Relation#reset 
17268.58      0.29     0.29     0.00     0.00    38206   String#=~ 
17084.50      0.29     0.29     0.00     0.00   165883   <Class::String>#allocate 
16991.01      3.71     0.29     0.00     3.43    15636   ActiveRecord::Relation#initialize 
16785.56      0.28     0.28     0.00     0.00    12672   IO#write 
16612.49      0.94     0.28     0.00     0.66    39433   ActiveModel::AttributeMethods#respond_to? 
16559.35      0.28     0.28     0.00     0.00    71132   UnboundMethod#bind 
16505.86      0.88     0.28     0.00     0.60    66128   Kernel#dup 
15790.77      0.27     0.27     0.00     0.00   119277   Hash#has_key? 
15753.02     28.95     0.27     0.00    28.68    11904   ActiveRecord::Validations::UniquenessValidator#validate_each 
15748.34      0.85     0.27     0.00     0.58    80212   <Module::Arel>#sql 
15687.75      0.27     0.27     0.00     0.00    98960   Thread#[] 
15558.52      9.53     0.26     0.00     9.26    10390   ActiveRecord::Scoping::ClassMethods#with_scope 
15492.54     12.45     0.26     0.00    12.19    45757   ActiveRecord::AttributeMethods::Read#read_attribute 
15381.89      0.84     0.26     0.00     0.58    77968   Arel::Nodes::TableAlias#[] 
15122.78      0.37     0.26     0.00     0.11    54255   Arel::Visitors::ToSql#quote_table_name 
14955.09      1.85     0.25     0.00     1.60    39478   ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection 
14938.40      1.05     0.25     0.00     0.80    46151   ActiveRecord::Relation#initialize_copy 
14504.20      0.25     0.25     0.00     0.00    86025   Kernel#instance_variable_defined? 
14330.12      0.24     0.24     0.00     0.00    74996   ActiveRecord::Associations::JoinDependency::JoinBase#aliased_prefix 
14178.70      0.24     0.24     0.00     0.00   123880   Kernel#nil? 
14127.04      0.24     0.24     0.00     0.00    91581   ActiveRecord::AttributeMethods::ClassMethods#generated_external_attribute_methods 
13509.94      0.23     0.23     0.00     0.00   105531   <Class::#<Class:0x007fb303a48748>>#allocate 
13495.33      1.61     0.23     0.00     1.38    12652   Logger#add 
12929.17      0.22     0.22     0.00     0.00   110792   Struct#initialize 
12727.87      0.32     0.22     0.00     0.10    34243   Array#uniq 
12526.63      0.76     0.21     0.00     0.55    21545   ActiveRecord::Associations#association 
12267.04     34.11     0.21     0.00    33.90     7439   ActiveRecord::FinderMethods#exists? 
12140.77      1.53     0.21     0.00     1.33    19336   ActiveRecord::Associations::JoinDependency::JoinPart#column_names_with_alias 
11976.63      1.01     0.20     0.00     0.80    71132   Method#call 
11971.78      0.47     0.20     0.00     0.27    66968   Kernel#initialize_dup 
11970.41      2.80     0.20     0.00     2.59    20094   Arel::Visitors::ToSql#visit_Arel_Nodes_Equality 
11570.95      0.39     0.20     0.00     0.19    39478   <Class::ActiveRecord::Base>#connection_id 
11565.74    262.03     0.20     0.00   261.83    20854   ActiveSupport::Callbacks::ClassMethods#__run_callback 
11405.27      0.19     0.19     0.00     0.00   115208   #<Class:0x007fb303a48748>#relation 
11400.65      0.49     0.19     0.00     0.30    29537   <Class::Array>#wrap 
11390.47      0.31     0.19     0.00     0.12    18978   ActiveSupport::LogSubscriber#color 
11310.65      1.19     0.19     0.00     1.00    20852   ActiveRecord::QueryMethods#collapse_wheres 
11290.77      0.57     0.19     0.00     0.38    50662   ActiveRecord::LogSubscriber#logger 
11286.39      0.22     0.19     0.00     0.03     2237   Kernel#raise 
11186.15      0.19     0.19     0.00     0.00    95497   Kernel#block_given? 
11149.88      0.47     0.19     0.00     0.28    11925   ActiveRecord::ConnectionAdapters::PostgreSQLAdapter#extract_pg_identifier_from_name 
10762.96      0.52     0.18     0.00     0.34    42492   <Class::Time>#now 
10728.05      2.65     0.18     0.00     2.46     8927   ActiveRecord::Associations::JoinDependency#initialize 
10658.76      0.18     0.18     0.00     0.00      734   Module#module_eval 
10638.93    262.42     0.18     0.00   262.24    20854   ActiveSupport::Callbacks#run_callbacks 
10412.13      0.18     0.18     0.00     0.00    87596   Kernel#respond_to_missing? 
10397.28      5.36     0.18     0.00     5.18    12679   ActiveSupport::LogSubscriber#call 
10255.15      8.66     0.17     0.00     8.49    12679   ActiveRecord::ConnectionAdapters::AbstractAdapter#log 
10223.31      0.45     0.17     0.00     0.28    11904   ActiveRecord::ConnectionAdapters::Quoting#quote 
10047.34      0.17     0.17     0.00     0.00    17433   Hash#initialize_copy 
9971.12      1.03     0.17     0.00     0.87    12679   ActiveSupport::Notifications::Event#initialize 
9916.63      0.71     0.17     0.00     0.54    39478   ActiveRecord::ConnectionAdapters::ConnectionPool#connection 
9852.49      1.02     0.17     0.00     0.85    15621   ActiveRecord::QueryMethods#select 
9667.10      0.27     0.16     0.00     0.10    43107   ActiveRecord::ConnectionAdapters::SchemaCache#table_exists? 
9629.35      8.53     0.16     0.00     8.37    10423   Arel::Visitors::ToSql#visit_Arel_Nodes_SelectStatement 
9359.53      9.68     0.16     0.00     9.53    10390   ActiveRecord::Relation#scoping 
9104.02      0.54     0.15     0.00     0.39    39478   ActiveRecord::ConnectionAdapters::ConnectionPool#current_connection_id 
9087.75      0.15     0.15     0.00     0.00    15687   Hash#initialize 
9080.53      1.21     0.15     0.00     1.05    46895   Kernel#initialize_clone 
9073.14      0.87     0.15     0.00     0.72    12652   MonitorMixin#mon_synchronize 
8970.89      0.15     0.15     0.00     0.00    10426   Arel::Nodes::SelectStatement#initialize 
8874.08      0.15     0.15     0.00     0.00    47551   Module#method_defined? 
8868.52      0.15     0.15     0.00     0.00    86242   #<Class:0x007fb303a48748>#name 
8820.47      0.23     0.15     0.00     0.08    42492   Time#initialize 
8751.36      0.41     0.15     0.00     0.26    43085   Arel::Visitors::ToSql#table_exists? 
8692.07      1.13     0.15     0.00     0.98    10423   ActiveRecord::QueryMethods#build_where 
8553.20      0.16     0.14     0.00     0.01    35955   ActiveRecord::AttributeMethods::PrimaryKey::ClassMethods#primary_key 
8551.18     32.23     0.14     0.00    32.09     2914   Identity(id: integer, uid: string, url: string, image: string, name: string, subtitle: string, credentials: text, properties: text, user_id: integer, context_id: integer, created_at: datetime, updated_at: datetime)#_run__218580901925583510__validate__4176206310142971996__callbacks 
8480.65      0.35     0.14     0.00     0.21    14919   Time#minus_without_duration 
8469.11      0.24     0.14     0.00     0.09    11922   Arel::Table#initialize 
8365.50      0.14     0.14     0.00     0.00    59955   Hash#key? 
8356.04      1.14     0.14     0.00     1.00    11907   ActiveRecord::Associations::AliasTracker#initial_count_for 
8343.91      2.30     0.14     0.00     2.15    39478   <Class::ActiveRecord::Base>#connection 
8319.29      1.46     0.14     0.00     1.32     5952   ActiveRecord::Validations::UniquenessValidator#build_relation 
8216.09      0.15     0.14     0.00     0.01    32043   ActiveRecord::ModelSchema::ClassMethods#table_name 
8167.93      0.26     0.14     0.00     0.12    12652   MonitorMixin#mon_exit 
7881.01      0.18     0.13     0.00     0.05    17458   #<Module:0x007fb303ed3420>#__temp__ 
7854.20      0.28     0.13     0.00     0.14    20780   ActiveRecord::Scoping::ClassMethods#current_scope= 
7824.73      0.70     0.13     0.00     0.57    11904   ActiveRecord::ConnectionAdapters::PostgreSQLAdapter#quote 
7812.60      0.13     0.13     0.00     0.00    71792   NilClass#nil? 
7799.82      0.14     0.13     0.00     0.01    43101   Arel::Visitors::ToSql#quote_column_name 
7610.89    122.22     0.13     0.00   122.09    25296   ActiveModel::EachValidator#validate 
7607.28      1.18     0.13     0.00     1.06    20065   ActiveRecord::Associations::BelongsToAssociation#stale_state 
7533.61      5.67     0.13     0.00     5.55    25358   ActiveSupport::Notifications::Fanout::Subscriber#publish 
7473.08      0.26     0.13     0.00     0.13    17029   ActiveRecord::Scoping::ClassMethods#current_scope 
7415.38      1.49     0.13     0.00     1.37    32727   ActiveRecord::Base#[] 
7379.29      0.85     0.12     0.00     0.72     6705   ActiveRecord::SpawnMethods#merge 
7276.69      0.46     0.12     0.00     0.34    32811   String#blank? 
7142.54      0.12     0.12     0.00     0.00    39441   ActiveRecord::AttributeMethods::ClassMethods#attribute_methods_generated? 
7111.83      0.18     0.12     0.00     0.06    38687   ActiveModel::Validations#errors 
7097.87      0.41     0.12     0.00     0.29     5952   ActiveSupport::Multibyte::Chars#slice 
7088.64      1.04     0.12     0.00     0.92    10413   ActiveRecord::Associations::JoinDependency#build 
7078.88      0.12     0.12     0.00     0.00    59666   <Class::Array>#allocate 
6957.34      0.26     0.12     0.00     0.15    10426   Arel::Nodes::SelectCore#initialize 
6956.45      0.25     0.12     0.00     0.13    36604   Enumerable#any? 
6881.83      0.12     0.12     0.00     0.00    45328   Arel::Visitors::ToSql#literal 
6867.75      8.20     0.12     0.00     8.09    17084   ActiveRecord::Associations::SingularAssociation#reader 
6826.75      1.46     0.12     0.00     1.35    11907   ActiveRecord::Associations::AliasTracker#aliased_name_for 
6800.36      0.11     0.11     0.00     0.00    43085   Arel::Visitors::ToSql#column_cache 
6785.74      0.18     0.11     0.00     0.06     9709   Array#initialize 
6772.49      0.76     0.11     0.00     0.65    14919   Time#minus_with_coercion 
6735.15      0.25     0.11     0.00     0.14    12652   MonitorMixin#mon_enter 
6660.47      0.11     0.11     0.00     0.00    37938   Thread#[]= 
6651.78      0.16     0.11     0.00     0.04     2232   URI::Generic#to_s 
6609.94      0.87     0.11     0.00     0.75    10426   Arel::SelectManager#initialize 
6532.72      0.25     0.11     0.00     0.14     2236   URI::Generic#initialize 
6419.70      0.11     0.11     0.00     0.00    42492   <Class::Time>#allocate 
6380.18      0.38     0.11     0.00     0.27    35790   Kernel#!~ 
6373.91      1.79     0.11     0.00     1.68    10423   ActiveRecord::QueryMethods#where 
6336.92      0.20     0.11     0.00     0.09    29041   Array#include? 
6282.07      0.16     0.11     0.00     0.05    25244   ActiveRecord::Associations#association_instance_get 
6272.54      4.93     0.11     0.00     4.82    17856   ActiveModel::Validations::PresenceValidator#validate 
6227.10      8.54     0.11     0.00     8.43    20088   ActiveModel::Errors#add_on_blank 
6216.80      0.36     0.11     0.00     0.25     8222   ActiveModel::AttributeMethods#match_attribute_method? 
6172.37      0.10     0.10     0.00     0.00    38642   ActiveRecord::Associations::Association#loaded? 
6171.89      0.10     0.10     0.00     0.00    41582   Module#to_s 
6135.03      0.10     0.10     0.00     0.00    49954   Array#initialize_copy 
6024.91     15.49     0.10     0.00    15.39     5231   ActiveRecord::Explain#logging_query_plan 
6018.46      0.91     0.10     0.00     0.81    17867   Object#blank? 
5969.47      0.72     0.10     0.00     0.62    10423   Arel::Visitors::ToSql#visit_Arel_Nodes_JoinSource 
5957.75      0.34     0.10     0.00     0.24    27563   Arel::Table#[] 
5943.91      0.10     0.10     0.00     0.00    52551   Symbol#== 
5854.85      0.10     0.10     0.00     0.00    19192   Regexp#=== 
5839.64      0.75     0.10     0.00     0.66    11925   ActiveRecord::ConnectionAdapters::PostgreSQLAdapter#quote_table_name 
5804.44      0.13     0.10     0.00     0.04    13392   #<Module:0x007fb30937b270>#__temp__ 
5788.88      0.10     0.10     0.00     0.00    45355   Class#superclass 
5761.72      1.43     0.10     0.00     1.34    17080   ActiveRecord::Associations::Association#stale_target? 
5691.42     16.01     0.10     0.00    15.91     2232   Application(id: integer, name: string, redirect_uri: string, user_id: integer, created_at: datetime, updated_at: datetime, entity_id: integer)#_run__2907036350389489085__validate__4176206310142971996__callbacks 
5665.09      0.19     0.10     0.00     0.09    12646   #<Module:0x007fb309698610>#__temp__ 
5639.35     11.67     0.10     0.00    11.58    12599   Hash#inspect 
5541.66      0.32     0.09     0.00     0.22     9717   Enumerable#to_a 
5536.33     65.39     0.09     0.00    65.30     1487   ActiveRecord::ConnectionAdapters::DatabaseStatements#transaction 
5505.33      0.09     0.09     0.00     0.00    36053   String#to_i 
5488.58      0.09     0.09     0.00     0.00    12660   Mutex#lock 
5470.83     23.19     0.09     0.00    23.10     2914   IdentityContext(id: integer, name: string, properties: text, application_id: integer, created_at: datetime, updated_at: datetime, title: string)#_run__446239950780992892__validate__4176206310142971996__callbacks 
